rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country
1,cristiano,92,3300.0,475800000.0,8700000.0,0.0139,6500000.0,29000000000.0,Spain
2,kyliejenner,91,6900.0,366200000.0,8300000.000000001,0.016200000000000003,5900000.0,57400000000.0,United States
3,leomessi,90,890.0,357300000.0,6800000.0,0.0124,4400000.0,6000000000.0,
4,selenagomez,93,1800.0,342700000.0,6200000.0,0.0097,3300000.0,11500000000.0,United States
5,therock,91,6800.0,334100000.0,1900000.0,0.002,665300.0,12500000000.0,United States
6,kimkardashian,91,5600.0,329200000.0,3500000.0,0.0088,2900000.0,19900000000.0,United States
7,arianagrande,92,5000.0,327700000.0,3700000.0,0.012,3900000.0,18400000000.0,United States
8,beyonce,92,2000.0,272800000.0,3600000.0,0.0076,2000000.0,7400000000.0,United States
9,khloekardashian,89,4100.0,268300000.0,2400000.0,0.0034999999999999996,926900.0,9800000000.0,United States
10,justinbieber,91,7400.0,254500000.0,1900000.0,0.0059,1500000.0,13900000000.0,Canada
11,kendalljenner,90,660.0,254000000.0,5500000.0,0.0204,5100000.0,3700000000.0,United States
12,natgeo,91,10000.0,237000000.0,302200.0,0.0007000000000000001,159300.0,3000000000.0,United States
13,nike,90,950.0,234100000.0,329000.0,0.0008,181800.0,313600000.0,United States
14,taylorswift,91,530.0,222200000.0,2400000.0,0.0101,2300000.0,1300000000.0,United States
15,jlo,89,3200.0,220400000.0,1700000.0,0.0062,1400000.0,5300000000.0,United States
16,virat.kohli,87,1400.0,211800000.0,3500000.0,0.0096,2000000.0,4900000000.0,
17,nickiminaj,90,6400.0,201600000.0,2100000.0,0.0053,1000000.0,13500000000.0,United States
18,kourtneykardash,89,4400.0,195200000.0,1800000.0,0.0067,1300000.0,7700000000.0,United States
19,mileycyrus,89,1200.0,181500000.0,1300000.0,0.0051,913600.0,1600000000.0,
20,neymarjr,90,5300.0,177100000.0,2700000.0,0.0109,1900000.0,14100000000.0,Brazil
21,katyperry,92,2000.0,170300000.0,715000.0,0.0016,265100.0,1500000000.0,
22,kevinhart4real,88,8200.0,152000000.0,522000.0,0.0008,115200.0,4300000000.0,United States
23,zendaya,87,3500.0,150700000.0,5800000.0,0.0317,4800000.0,20600000000.0,United States
24,iamcardib,75,1600.0,140500000.0,3100000.0,0.011000000000000001,1500000.0,5000000000.0,United States
25,ddlovato,88,80.0,139100000.0,1100000.0,0.0027,363400.0,91300000.0,United States
26,badgalriri,88,4800.0,135300000.0,3700000.0,0.0002,0.0,17900000000.0,United States
27,kingjames,86,2300.0,130900000.0,2100000.0,0.0092,1200000.0,4900000000.0,
28,theellenshow,87,10000.0,125100000.0,420500.0,0.0007000000000000001,81700.0,4200000000.0,United States
29,realmadrid,90,6900.0,123400000.0,996200.0,0.0048,588300.0,6800000000.0,Spain
30,champagnepapi,85,5200.0,119600000.0,1700000.0,0.011000000000000001,1300000.0,9000000000.0,Netherlands
31,chrisbrownofficial,86,7300.0,118500000.0,463200.0,0.0022,255900.0,3400000000.0,United States
32,fcbarcelona,90,10000.0,111400000.0,1200000.0,0.0064,706300.0,11600000000.0,
33,billieeilish,73,690.0,105200000.0,8500000.0,0.050199999999999995,5200000.0,5900000000.0,
34,dualipa,74,1300.0,85900000.0,2100000.0,0.0126,1100000.0,2600000000.0,United Kingdom
35,gal_gadot,85,1700.0,85600000.0,1400000.0,0.0069,586500.0,2300000000.0,United States
36,vindiesel,88,1800.0,82300000.0,1400000.0,0.006,482300.0,2500000000.0,United States
37,nasa,88,3600.0,81300000.0,1200000.0,0.015300000000000001,1200000.0,4200000000.0,United States
38,priyankachopra,85,3600.0,81100000.0,1600000.0,0.01,802900.0,5600000000.0,United States
39,lalalalisa_m,70,870.0,80900000.0,5800000.0,0.09,7200000.0,5100000000.0,
40,Shakira,88,2000.0,76100000.0,975100.0,0.0040999999999999995,304700.0,1900000000.0,
41,snoopdogg,86,10000.0,75300000.0,203700.0,0.0017000000000000001,125800.0,2000000000.0,
42,gigihadid,85,3300.0,75300000.0,2500000.0,0.0256,1900000.0,8199999999.999999,United States
43,davidbeckham,86,1500.0,74900000.0,1200000.0,0.0046,340900.0,1900000000.0,United States
44,shraddhakapoor,81,1900.0,73900000.0,1600000.0,0.011699999999999999,859900.0,3000000000.0,
45,victoriassecret,88,2900.0,73200000.0,147000.0,0.0004,29800.0,423500000.0,United States
